,solubility_category
1430,non-soluble
1431,non-soluble
1432,non-soluble
1433,non-soluble
1434,non-soluble
1435,non-soluble
1436,non-soluble
1437,non-soluble
1438,non-soluble
1439,non-soluble
1440,theta
1441,soluble
1442,non-soluble
1443,soluble
1444,theta
1445,theta
1446,non-soluble
1447,theta
1448,theta
1449,theta
1450,non-soluble
1451,theta
1452,theta
1453,theta
1454,non-soluble
1455,non-soluble
1456,non-soluble
1457,theta
1458,soluble
1459,soluble
1460,soluble
1461,soluble
1462,non-soluble
1463,non-soluble
1464,soluble
1465,soluble
1466,soluble
1467,soluble
1468,soluble
1469,soluble
1470,soluble
1471,non-soluble
1472,soluble
1473,soluble
1474,soluble
1475,soluble
1476,theta
1477,soluble
1478,soluble
1479,soluble
1480,soluble
1481,soluble
1482,soluble
1483,soluble
1484,soluble
1485,soluble
1486,soluble
1487,soluble
1488,soluble
1489,soluble
1490,soluble
1491,soluble
1492,soluble
1493,soluble
1494,soluble
1495,soluble
1496,soluble
1497,soluble
1498,soluble
1499,soluble
1500,non-soluble
1501,soluble
1502,soluble
1503,soluble
1504,soluble
1505,soluble
1506,soluble
1507,soluble
1508,soluble
1509,soluble
1510,soluble
1511,soluble
1512,soluble
1513,soluble
1514,soluble
1515,soluble
1516,soluble
1517,soluble
1518,soluble
1519,soluble
1520,soluble
1521,soluble
1522,soluble
1523,non-soluble
1524,non-soluble
1525,soluble
1526,non-soluble
1527,soluble
1528,soluble
1529,soluble
1530,soluble
1531,soluble
1532,soluble
1533,soluble
1534,theta
1535,non-soluble
1536,theta
1537,theta
1538,theta
1539,soluble
1540,soluble
1541,soluble
1542,theta
1543,soluble
1544,soluble
1545,soluble
1546,soluble
1547,soluble
1548,soluble
1549,soluble
1550,soluble
1551,soluble
1552,soluble
1553,soluble
1554,soluble
1555,soluble
1556,theta
1557,soluble
1558,soluble
1559,soluble
1560,theta
1561,theta
1562,soluble
1563,soluble
1564,soluble
1565,soluble
1566,soluble
1567,soluble
1568,soluble
1569,soluble
1570,soluble
1571,soluble
1572,soluble
1573,soluble
1574,soluble
1575,soluble
1576,soluble
1577,soluble
1578,theta
1579,soluble
1580,soluble
1581,soluble
1582,soluble
1583,soluble
1584,soluble
1585,soluble
1586,soluble
1587,soluble
1588,soluble
1589,theta
1590,soluble
1591,non-soluble
1592,soluble
1593,soluble
1594,theta
1595,theta
1596,soluble
1597,soluble
1598,soluble
1599,soluble
1600,theta
1601,theta
1602,soluble
1603,theta
1604,theta
1605,theta
1606,soluble
1607,soluble
1608,non-soluble
1609,non-soluble
1610,soluble
1611,soluble
1612,soluble
1613,soluble
1614,soluble
1615,non-soluble
1616,non-soluble
1617,non-soluble
1618,non-soluble
1619,non-soluble
1620,non-soluble
1621,non-soluble
1622,non-soluble
1623,non-soluble
1624,non-soluble
1625,non-soluble
1626,non-soluble
1627,non-soluble
1628,non-soluble
1629,non-soluble
1630,non-soluble
1631,non-soluble
1632,non-soluble
1633,non-soluble
1634,non-soluble
1635,non-soluble
1636,non-soluble
1637,non-soluble
1638,non-soluble
1639,non-soluble
1640,non-soluble
1641,soluble
1642,soluble
1643,soluble
1644,non-soluble
1645,soluble
1646,soluble
1647,non-soluble
1648,non-soluble
1649,non-soluble
1650,non-soluble
1651,theta
1652,soluble
1653,soluble
1654,soluble
1655,soluble
1656,soluble
1657,soluble
1658,soluble
1659,soluble
1660,theta
1661,soluble
1662,soluble
1663,soluble
1664,non-soluble
1665,non-soluble
1666,non-soluble
1667,non-soluble
1668,non-soluble
1669,soluble
1670,non-soluble
1671,non-soluble
1672,soluble
1673,theta
1674,soluble
1675,soluble
1676,soluble
1677,soluble
1678,soluble
1679,soluble
1680,soluble
1681,soluble
1682,non-soluble
1683,soluble
1684,soluble
1685,soluble
1686,soluble
1687,soluble
1688,soluble
1689,soluble
1690,soluble
1691,soluble
1692,soluble
1693,theta
1694,soluble
1695,non-soluble
1696,non-soluble
1697,theta
1698,soluble
1699,non-soluble
1700,non-soluble
1701,non-soluble
1702,non-soluble
1703,non-soluble
1704,non-soluble
1705,non-soluble
1706,non-soluble
1707,non-soluble
1708,non-soluble
1709,non-soluble
1710,theta
1711,non-soluble
1712,non-soluble
1713,non-soluble
1714,soluble
1715,theta
1716,soluble
1717,non-soluble
1718,non-soluble
1719,theta
1720,theta
1721,theta
1722,theta
1723,soluble
1724,soluble
1725,non-soluble
1726,non-soluble
1727,soluble
1728,soluble
1729,soluble
1730,soluble
1731,theta
1732,non-soluble
1733,theta
1734,soluble
1735,soluble
1736,soluble
1737,soluble
1738,soluble
1739,soluble
1740,soluble
1741,soluble
1742,soluble
1743,soluble
1744,soluble
1745,soluble
1746,soluble
1747,soluble
1748,soluble
1749,non-soluble
1750,soluble
1751,soluble
1752,soluble
1753,soluble
1754,soluble
1755,non-soluble
1756,soluble
1757,soluble
1758,soluble
1759,soluble
1760,soluble
1761,non-soluble
1762,soluble
1763,soluble
1764,soluble
1765,soluble
1766,soluble
1767,soluble
1768,soluble
1769,soluble
1770,soluble
1771,soluble
1772,soluble
1773,soluble
1774,soluble
1775,soluble
1776,soluble
1777,soluble
1778,non-soluble
1779,non-soluble
1780,non-soluble
1781,non-soluble
1782,non-soluble
1783,soluble
1784,soluble
1785,non-soluble
1786,non-soluble
1787,non-soluble
1788,non-soluble
1789,non-soluble
1790,non-soluble
1791,non-soluble
1792,non-soluble
1793,non-soluble
1794,non-soluble
1795,non-soluble
1796,non-soluble
1797,non-soluble
1798,non-soluble
1799,non-soluble
1800,non-soluble
1801,non-soluble
1802,non-soluble
1803,non-soluble
1804,non-soluble
1805,non-soluble
1806,non-soluble
1807,non-soluble
1808,non-soluble
1809,non-soluble
1810,non-soluble
1811,soluble
1812,soluble
1813,theta
1814,theta
1815,soluble
1816,soluble
1817,non-soluble
1818,non-soluble
1819,non-soluble
1820,non-soluble
1821,theta
1822,soluble
1823,soluble
1824,soluble
1825,soluble
1826,non-soluble
1827,soluble
1828,soluble
1829,soluble
1830,non-soluble
1831,soluble
1832,soluble
1833,soluble
1834,non-soluble
1835,non-soluble
1836,non-soluble
1837,non-soluble
1838,non-soluble
1839,soluble
1840,non-soluble
1841,non-soluble
1842,soluble
1843,non-soluble
1844,soluble
1845,non-soluble
1846,soluble
1847,soluble
1848,soluble
1849,soluble
1850,soluble
1851,soluble
1852,non-soluble
1853,soluble
1854,soluble
1855,soluble
1856,soluble
1857,soluble
1858,soluble
1859,soluble
1860,soluble
1861,soluble
1862,soluble
1863,soluble
1864,soluble
1865,non-soluble
1866,non-soluble
1867,theta
1868,non-soluble
1869,non-soluble
1870,non-soluble
1871,non-soluble
1872,non-soluble
1873,soluble
1874,soluble
1875,soluble
1876,soluble
1877,soluble
1878,soluble
1879,non-soluble
1880,non-soluble
1881,non-soluble
1882,non-soluble
1883,soluble
1884,soluble
1885,non-soluble
1886,non-soluble
1887,non-soluble
1888,non-soluble
1889,soluble
1890,non-soluble
1891,non-soluble
1892,non-soluble
1893,non-soluble
1894,non-soluble
1895,non-soluble
1896,soluble
1897,soluble
1898,non-soluble
1899,soluble
1900,soluble
1901,soluble
1902,non-soluble
1903,non-soluble
1904,non-soluble
1905,non-soluble
1906,soluble
1907,soluble
1908,soluble
1909,soluble
1910,soluble
1911,non-soluble
1912,soluble
1913,soluble
1914,soluble
1915,soluble
1916,soluble
1917,soluble
1918,soluble
1919,non-soluble
1920,non-soluble
1921,non-soluble
1922,non-soluble
1923,non-soluble
1924,non-soluble
1925,non-soluble
1926,non-soluble
1927,soluble
1928,theta
1929,soluble
1930,theta
1931,soluble
1932,soluble
1933,soluble
1934,soluble
1935,soluble
1936,soluble
1937,non-soluble
1938,soluble
1939,soluble
1940,non-soluble
1941,soluble
1942,soluble
1943,soluble
1944,soluble
1945,soluble
1946,soluble
1947,soluble
1948,soluble
1949,soluble
1950,non-soluble
1951,non-soluble
1952,soluble
1953,non-soluble
1954,non-soluble
1955,non-soluble
1956,non-soluble
1957,non-soluble
1958,non-soluble
1959,non-soluble
1960,non-soluble
1961,non-soluble
1962,non-soluble
1963,non-soluble
1964,non-soluble
1965,non-soluble
1966,non-soluble
1967,non-soluble
1968,non-soluble
1969,non-soluble
1970,non-soluble
1971,non-soluble
1972,non-soluble
1973,non-soluble
1974,non-soluble
1975,non-soluble
1976,non-soluble
1977,non-soluble
1978,non-soluble
